,0,1,2
global.maxPeakMemoryConsumption,204744.0,173448.0,164616.0
global.meanPeakMemoryConsumption,131838.0,101158.0,90236.0
block_ipdg.discretize_max_usr_speedup,1.0,1.806,3.361
block_ipdg.discretize_max_usr_abspart,0.011,0.011,0.013
block_ipdg.discretize_max_usr_wallpart,0.011,0.011,0.013
block_ipdg.discretize_avg_usr_speedup,1.0,2.117,4.366
block_ipdg.discretize_avg_usr_abspart,0.01,0.009,0.009
block_ipdg.discretize_avg_usr_wallpart,0.01,0.009,0.009
block_ipdg.discretize_max_sys_speedup,1.0,1.5,1.5
block_ipdg.discretize_max_sys_abspart,0.036,0.054,0.133
block_ipdg.discretize_max_sys_wallpart,0.0,0.0,0.001
block_ipdg.discretize_avg_sys_speedup,1.0,1.831,3.323
block_ipdg.discretize_avg_sys_abspart,0.19,0.233,0.292
block_ipdg.discretize_avg_sys_wallpart,0.0,0.0,0.0
block_ipdg.discretize_max_wall_speedup,1.0,1.799,3.402
block_ipdg.discretize_max_wall_abspart,0.011,0.011,0.012
block_ipdg.discretize_max_wall_wallpart,0.011,0.011,0.012
block_ipdg.discretize_avg_wall_speedup,1.0,2.116,4.365
block_ipdg.discretize_avg_wall_abspart,0.01,0.009,0.009
block_ipdg.discretize_avg_wall_wallpart,0.01,0.009,0.009
block_ipdg.discretize_max_usr_threadeff,0.993,0.99,1.006
block_ipdg.discretize_avg_usr_threadeff,0.992,0.992,0.992
ipdg.all_max_usr_speedup,1.0,1.884,3.877
ipdg.all_max_usr_abspart,1.03,0.994,0.992
ipdg.all_max_usr_wallpart,1.027,0.991,0.99
ipdg.all_avg_usr_speedup,1.0,1.885,3.887
ipdg.all_avg_usr_abspart,1.03,0.993,0.99
ipdg.all_avg_usr_wallpart,1.026,0.99,0.987
ipdg.all_max_sys_speedup,1.0,1.375,2.895
ipdg.all_max_sys_abspart,0.655,1.081,1.267
ipdg.all_max_sys_wallpart,0.005,0.007,0.007
ipdg.all_avg_sys_speedup,1.0,1.415,2.195
ipdg.all_avg_sys_abspart,1.558,2.47,3.618
ipdg.all_avg_sys_wallpart,0.0,0.001,0.001
ipdg.all_max_wall_speedup,1.0,1.884,3.875
ipdg.all_max_wall_abspart,1.03,0.995,0.994
ipdg.all_max_wall_wallpart,1.03,0.995,0.994
ipdg.all_avg_wall_speedup,1.0,1.884,3.875
ipdg.all_avg_wall_abspart,1.03,0.995,0.994
ipdg.all_avg_wall_wallpart,1.03,0.995,0.994
ipdg.all_max_usr_threadeff,0.997,0.997,0.996
ipdg.all_avg_usr_threadeff,0.996,0.995,0.993
ipdg.solve_max_usr_speedup,1.0,1.884,3.89
ipdg.solve_max_usr_abspart,1.024,0.988,0.983
ipdg.solve_max_usr_wallpart,1.021,0.985,0.981
ipdg.solve_avg_usr_speedup,1.0,1.885,3.894
ipdg.solve_avg_usr_abspart,1.023,0.987,0.982
ipdg.solve_avg_usr_wallpart,1.02,0.984,0.979
ipdg.solve_max_sys_speedup,1.0,1.385,3.176
ipdg.solve_max_sys_abspart,0.643,1.054,1.133
ipdg.solve_max_sys_wallpart,0.005,0.007,0.006
ipdg.solve_avg_sys_speedup,1.0,1.207,1.706
ipdg.solve_avg_sys_abspart,0.901,1.675,2.692
ipdg.solve_avg_sys_wallpart,0.0,0.0,0.001
ipdg.solve_max_wall_speedup,1.0,1.883,3.875
ipdg.solve_max_wall_abspart,1.024,0.989,0.988
ipdg.solve_max_wall_wallpart,1.024,0.989,0.988
ipdg.solve_avg_wall_speedup,1.0,1.883,3.881
ipdg.solve_avg_wall_abspart,1.024,0.989,0.986
ipdg.solve_avg_wall_wallpart,1.024,0.989,0.986
ipdg.solve_max_usr_threadeff,0.997,0.996,0.993
ipdg.solve_avg_usr_threadeff,0.996,0.996,0.993
block_ipdg.all_max_usr_speedup,1.0,1.818,3.736
block_ipdg.all_max_usr_abspart,1.0,1.0,1.0
block_ipdg.all_max_usr_wallpart,0.997,0.997,0.998
block_ipdg.all_avg_usr_speedup,1.0,1.818,3.737
block_ipdg.all_avg_usr_abspart,1.0,1.0,1.0
block_ipdg.all_avg_usr_wallpart,0.997,0.997,0.997
block_ipdg.all_max_sys_speedup,1.0,2.27,5.6
block_ipdg.all_max_sys_abspart,1.0,1.0,1.0
block_ipdg.all_max_sys_wallpart,0.008,0.006,0.005
block_ipdg.all_avg_sys_speedup,1.0,2.244,5.097
block_ipdg.all_avg_sys_abspart,1.0,1.0,1.0
block_ipdg.all_avg_sys_wallpart,0.0,0.0,0.0
block_ipdg.all_max_wall_speedup,1.0,1.819,3.738
block_ipdg.all_max_wall_abspart,1.0,1.0,1.0
block_ipdg.all_max_wall_wallpart,1.0,1.0,1.0
block_ipdg.all_avg_wall_speedup,1.0,1.819,3.738
block_ipdg.all_avg_wall_abspart,1.0,1.0,1.0
block_ipdg.all_avg_wall_wallpart,1.0,1.0,1.0
block_ipdg.all_max_usr_threadeff,0.997,0.997,0.998
block_ipdg.all_avg_usr_threadeff,0.997,0.997,0.997
analytical_error.block_ipdg_max_usr_speedup,1.0,1.571,2.75
analytical_error.block_ipdg_max_usr_abspart,0.002,0.002,0.003
analytical_error.block_ipdg_max_usr_wallpart,0.002,0.002,0.003
analytical_error.block_ipdg_avg_usr_speedup,1.0,1.658,2.872
analytical_error.block_ipdg_avg_usr_abspart,0.002,0.002,0.003
analytical_error.block_ipdg_avg_usr_wallpart,0.002,0.002,0.003
analytical_error.block_ipdg_max_sys_speedup,1.0,1.0,1.0
analytical_error.block_ipdg_max_sys_abspart,0.012,0.027,0.067
analytical_error.block_ipdg_max_sys_wallpart,0.0,0.0,0.0
analytical_error.block_ipdg_avg_sys_speedup,1.0,1.75,1.965
analytical_error.block_ipdg_avg_sys_abspart,0.005,0.006,0.013
analytical_error.block_ipdg_avg_sys_wallpart,0.0,0.0,0.0
analytical_error.block_ipdg_max_wall_speedup,1.0,1.659,2.882
analytical_error.block_ipdg_max_wall_abspart,0.002,0.002,0.003
analytical_error.block_ipdg_max_wall_wallpart,0.002,0.002,0.003
analytical_error.block_ipdg_avg_wall_speedup,1.0,1.653,2.869
analytical_error.block_ipdg_avg_wall_abspart,0.002,0.002,0.003
analytical_error.block_ipdg_avg_wall_wallpart,0.002,0.002,0.003
analytical_error.block_ipdg_max_usr_threadeff,1.005,1.061,1.053
analytical_error.block_ipdg_avg_usr_threadeff,1.001,0.998,1.0
single_run_max_usr_speedup,1.0,1.844,3.728
single_run_max_usr_abspart,2.036,2.007,2.04
single_run_max_usr_wallpart,2.03,2.002,2.036
single_run_avg_usr_speedup,1.0,1.848,3.773
single_run_avg_usr_abspart,2.034,2.001,2.015
single_run_avg_usr_wallpart,2.028,1.995,2.009
single_run_max_sys_speedup,1.0,1.718,4.323
single_run_max_sys_abspart,1.595,2.108,2.067
single_run_max_sys_wallpart,0.012,0.013,0.011
single_run_avg_sys_speedup,1.0,1.63,2.698
single_run_avg_sys_abspart,2.825,3.889,5.336
single_run_avg_sys_wallpart,0.001,0.001,0.001
single_run_max_wall_speedup,1.0,1.844,3.724
single_run_max_wall_abspart,2.037,2.009,2.044
single_run_max_wall_wallpart,2.037,2.009,2.044
single_run_avg_wall_speedup,1.0,1.848,3.767
single_run_avg_wall_abspart,2.035,2.003,2.019
single_run_avg_wall_wallpart,2.035,2.003,2.019
single_run_max_usr_threadeff,0.997,0.997,0.996
single_run_avg_usr_threadeff,0.996,0.996,0.995
ipdg.discretize_max_usr_speedup,1.0,2.093,3.913
ipdg.discretize_max_usr_abspart,0.008,0.007,0.008
ipdg.discretize_max_usr_wallpart,0.008,0.007,0.008
ipdg.discretize_avg_usr_speedup,1.0,2.065,4.203
ipdg.discretize_avg_usr_abspart,0.006,0.005,0.005
ipdg.discretize_avg_usr_wallpart,0.006,0.005,0.005
ipdg.discretize_max_sys_speedup,1.0,1.667,1.667
ipdg.discretize_max_sys_abspart,0.06,0.081,0.2
ipdg.discretize_max_sys_wallpart,0.0,0.001,0.001
ipdg.discretize_avg_sys_speedup,1.0,1.871,3.704
ipdg.discretize_avg_sys_abspart,0.652,0.782,0.897
ipdg.discretize_avg_sys_wallpart,0.0,0.0,0.0
ipdg.discretize_max_wall_speedup,1.0,2.066,4.022
ipdg.discretize_max_wall_abspart,0.008,0.007,0.008
ipdg.discretize_max_wall_wallpart,0.008,0.007,0.008
ipdg.discretize_avg_wall_speedup,1.0,2.061,4.191
ipdg.discretize_avg_wall_abspart,0.006,0.005,0.005
ipdg.discretize_avg_wall_wallpart,0.006,0.005,0.005
ipdg.discretize_max_usr_threadeff,0.986,0.973,1.013
ipdg.discretize_avg_usr_threadeff,0.967,0.966,0.965
all_max_usr_speedup,1.0,1.844,3.728
all_max_usr_abspart,4.072,4.015,4.081
all_max_usr_wallpart,4.061,4.004,4.071
all_avg_usr_speedup,1.0,1.848,3.773
all_avg_usr_abspart,4.069,4.003,4.03
all_avg_usr_wallpart,4.055,3.99,4.018
all_max_sys_speedup,1.0,1.718,4.323
all_max_sys_abspart,3.19,4.216,4.133
all_max_sys_wallpart,0.025,0.026,0.022
all_avg_sys_speedup,1.0,1.63,2.697
all_avg_sys_abspart,5.651,7.781,10.68
all_avg_sys_wallpart,0.002,0.002,0.002
all_max_wall_speedup,1.0,1.844,3.724
all_max_wall_abspart,4.074,4.018,4.089
all_max_wall_wallpart,4.074,4.018,4.089
all_avg_wall_speedup,1.0,1.848,3.767
all_avg_wall_abspart,4.07,4.006,4.039
all_avg_wall_wallpart,4.07,4.006,4.039
all_max_usr_threadeff,0.997,0.997,0.996
all_avg_usr_threadeff,0.996,0.996,0.995
block_ipdg.solve_max_usr_speedup,1.0,1.816,3.733
block_ipdg.solve_max_usr_abspart,0.99,0.992,0.991
block_ipdg.solve_max_usr_wallpart,0.988,0.989,0.989
block_ipdg.solve_avg_usr_speedup,1.0,1.816,3.732
block_ipdg.solve_avg_usr_abspart,0.99,0.991,0.991
block_ipdg.solve_avg_usr_wallpart,0.986,0.988,0.988
block_ipdg.solve_max_sys_speedup,1.0,2.333,5.6
block_ipdg.solve_max_sys_abspart,1.0,0.973,1.0
block_ipdg.solve_max_sys_wallpart,0.008,0.006,0.005
block_ipdg.solve_avg_sys_speedup,1.0,2.37,5.831
block_ipdg.solve_avg_sys_abspart,0.81,0.767,0.708
block_ipdg.solve_avg_sys_wallpart,0.0,0.0,0.0
block_ipdg.solve_max_wall_speedup,1.0,1.817,3.734
block_ipdg.solve_max_wall_abspart,0.99,0.991,0.991
block_ipdg.solve_max_wall_wallpart,0.99,0.991,0.991
block_ipdg.solve_avg_wall_speedup,1.0,1.816,3.733
block_ipdg.solve_avg_wall_abspart,0.99,0.991,0.991
block_ipdg.solve_avg_wall_wallpart,0.99,0.991,0.991
block_ipdg.solve_max_usr_threadeff,0.997,0.997,0.997
block_ipdg.solve_avg_usr_threadeff,0.997,0.997,0.997
